mk.names	chr	pos.ind	pos.cM	log10pval	W117	UH250	Mo17	B73	EC169	F353
PZE-101000083	1	1	0	0.0487465827031081	0.313226354512307	0.827174460042506	0.718881156114531	-0.519989245089255	0.831714755806357	NA
PZE-101000161	1	2	0.1	0.0487466022553302	0.31322627777428	0.718881155990692	0.831714755730085	0.827174459964241	-0.519989244897323	NA
PZE-101000344	1	3	0.7	0.0487568894461685	0.313223113130284	0.718718267203855	0.83171471560256	0.827174418788791	-0.519989143918574	NA
PZE-101000424	1	4	0.8	0.0500896150437576	0.308085711763779	0.718682796985486	0.831709547873823	0.827169116105807	-0.519976139683242	NA
PZE-101000370	1	5	1	0.0527273853800459	0.298399576885866	0.718612364130645	0.831699493039061	0.827158798692144	-0.51995083781041	NA
PZE-101000754	1	6	1.4	0.0577803421057833	0.281426126815972	0.7184740457721	0.831680819512025	0.827139637515912	-0.519903849464701	NA
PZE-101000169	1	7	1.5	0.0589742131420886	0.277685759812678	0.718440097104804	0.831676511024214	0.827135216515012	-0.519893008260499	NA
PZE-101000256	1	8	1.7	0.0612526417409842	0.270804886914326	0.718373063161213	0.831668390108107	0.827126883527756	-0.519872574342212	NA
PZE-101001094	1	9	1.8	0.0623304070054406	0.267661527528598	0.718340003838218	0.831664593293813	0.827122987563082	-0.519863020892881	NA
PZE-101000659	1	10	1.9	0.0633612832723299	0.827119287596048	0.264713659182941	-0.519853948131618	0.718334137928358	0.831660987488912	NA
PZE-101001110	1	11	2.2	0.0648444586855066	0.827114008376541	0.260579725060717	-0.519834140881032	0.718325772131797	0.831655842622191	NA
PZE-101000431	1	12	2.3	0.0663156822543353	0.827108821473824	0.265358412962109	-0.497242322370272	0.718317552648133	0.831650787348326	NA
PZE-101000442	1	13	2.4	0.0698613730493213	0.827096514365938	0.264985737802782	-0.475243138649296	0.718298050134354	0.831638793071995	NA
PZE-101000530	1	14	2.5	0.0736430227040293	0.82708367005262	0.264614244535827	-0.453889100166739	0.718277696460063	0.83162627525929	NA
PZE-101001114	1	15	2.6	0.0775339092909683	0.827070734449151	0.264575671206641	-0.433212842574582	0.718257198128764	0.831613668401545	NA
PZE-101001280	1	16	2.7	0.0816565600162241	0.827057313422062	0.264535741135264	-0.413239647447675	0.718235930543619	0.831596845676845	NA
PZE-101000673	1	17	3	0.102039033393502	0.826994577518096	0.26435302845227	-0.357667996858729	0.718131388645307	0.721408934013067	NA
PZE-101001107	1	18	3.1	0.120539161268031	0.826942529755158	0.242572073043749	-0.34055972492292	0.718045972954921	0.686033589619547	NA
PZE-101002282	1	19	3.4	0.181293659403734	0.86314939774787	0.192325706756749	-0.293778827567575	0.717794382296541	0.586124958569088	NA
PZE-101002081	1	20	3.6	0.197335809833177	0.863121546838172	0.185806967052585	-0.293669029815626	0.683946026788355	0.544837586911905	NA
PZE-101001587	1	21	4.2	0.190680457069243	0.83903458886868	0.252421104436767	-0.29371035984425	0.590031149917833	0.435415769314622	NA
PZE-101001380	1	22	4.3	0.190421942701979	0.835772777868963	0.265529997684492	-0.293711635535578	0.575722985264944	0.419571467775119	NA
PZE-101003133	1	23	4.5	0.189657908765946	0.845493903735909	0.293533235753597	0.548424256145711	0.390074874980987	-0.293715834003417	NA
PZE-101003135	1	24	4.7	0.189154030337992	0.855693159304525	0.293538485124957	0.548424400279187	0.390072236478311	-0.293718304567346	NA
PZE-101003026	1	25	4.9	0.198869890461607	0.86632220936169	0.293476159949906	0.548372979785005	0.360296358281809	-0.293653197817681	NA
PZE-101003031	1	26	5.6	0.247386122321729	0.906417720402993	0.263105735580766	0.54812523730809	0.283614053100203	-0.293343688416719	NA
PZA00393.1	1	27	5.7	0.253230948048856	0.912423764297858	0.259813837315366	0.548096670396271	0.276163947525038	-0.293307708526247	NA
PZE-101003115	1	28	5.9	0.256379992349648	0.924568886936066	0.254111543616067	0.548082713190081	0.276144223659336	-0.293287782934731	NA
PZE-101002367	1	29	6	0.257747795172148	0.930685365662966	0.251682070425369	0.548076790643966	0.276135627797696	-0.293279092917422	NA
PZE-101005818	1	30	7.3	0.261061360020385	-0.991347183293668	0.245224267669614	-0.29325340916797	0.548072225650924	0.276110706695942	NA
PZE-101006745	1	31	9.2	0.220958301895763	-0.99134087875752	0.750234765130186	-0.222905835965632	0.271967472465355	0.357868887832454	NA
PZA01022.1	1	32	9.6	0.21230284605521	-0.991340184003859	0.798455405918244	-0.211568302261761	0.280321194080985	0.381259734520734	NA
PZE-101009312	1	33	10.6	0.192065958028489	-0.991338341337558	-0.188116642834265	0.448536652703718	0.923375175738158	0.305904424206531	NA
PZE-101007769	1	34	10.9	0.186590700460663	-0.991337733504869	-0.182347424828555	0.47086065237375	0.961290797103088	0.314933629729229	NA
PZE-101009670	1	35	11	0.196965598428696	-0.987107853009255	-0.173253633337405	0.454935958449149	0.973902338870653	0.318003222119478	NA
PZE-101009215	1	36	11.2	0.218800954944558	-0.978553953103226	-0.156489471942889	0.424515943165907	0.999061172326833	0.32435054277078	NA
PZE-101010821	1	37	11.8	0.290067419997128	-0.95235369900008	-0.116863634065057	-0.926467830138057	0.346281052127067	0.34506219997603	NA
PZE-101009528	1	38	12.3	0.350095504515346	-0.930303712622828	-0.0943495578304693	-0.866322449128606	0.296960160816909	0.364216825690732	NA
PZE-101009163	1	39	12.5	0.360358858200616	-0.92154953889438	-0.0875613658119106	-0.900859749785544	0.296902283995779	0.372414361912842	NA
PZE-101010560	1	40	13	0.356060210558919	-0.900094766281137	-0.0875781437086811	-0.832139165762663	0.296932941845209	0.394142623729332	NA
PZE-101010917	1	41	13.5	0.33537914132621	-0.879577484866178	0.417366623932141	-0.087652818634008	-0.574475311485928	0.398438595547808	NA
PZE-101012517	1	42	13.6	0.336581976914631	0.422136302206621	-0.87560998621813	-0.0876484387604866	-0.561665566430899	0.398435041491167	NA
PZE-101014135	1	43	13.7	0.343467222781973	0.420251483729161	-0.81863412395817	-0.0876234564969822	-0.548991029562755	0.398400726060882	NA
PZE-101014266	1	44	13.8	0.351745470499061	0.418496433509199	-0.76272590326791	-0.0875936153463644	-0.53647786716632	0.398359147637193	NA
PZE-101011048	1	45	14	0.372351631447962	0.41538684683523	-0.656354539865245	-0.0875202134570646	-0.51196330625564	0.398255463722034	NA
PZE-101013818	1	46	14.9	0.383318795130788	0.409067962684079	-0.724645334222266	-0.0874800107009786	-0.411909070154448	0.433988934394916	NA
PZE-101014003	1	47	15.3	0.388938857903334	0.410085424615311	-0.757739002172207	-0.0874596423223255	-0.37308810091895	0.45116317569386	NA
PZE-101011906	1	48	15.7	0.39559115303181	0.411598638501104	-0.792001975882258	-0.0874357697616516	-0.337860192255807	0.469104068702054	NA
PZE-101015469	1	49	16.2	0.355737769806244	0.414563314975952	-0.835899046133283	-0.0875753381761421	-0.404840994117123	0.492802799775428	NA
PZE-101013772	1	50	16.4	0.340838234076301	0.415998381864722	-0.853565691351716	-0.0876286564302231	-0.435515289613548	0.502583736621439	NA
PZE-101013713	1	51	16.9	0.307120646776107	0.420190243453287	-0.897509828959551	-0.0877519000735038	-0.521201864800902	0.527734832373087	NA
PZE-101015471	1	52	17.3	0.399849480275766	0.46626340824248	0.444400142001034	-0.49044122966267	-0.0805778298562225	0.481398319565565	NA
PZE-101017581	1	53	18.7	0.488464607268476	0.667150805467004	0.449587484925922	0.362863364017529	-0.393595123614004	-0.0614845118743622	NA
PZE-101017779	1	54	19	0.497066221895898	0.71637917236485	0.452279500248336	0.369712075755979	-0.375085687668944	-0.058346801833541	NA
PZB01915.1	1	55	19.1	0.503899934641148	0.70447237140067	0.453276897967038	0.372048191435749	-0.369078146010286	-0.0573548794886117	NA
PZE-101017463	1	56	19.5	0.531524411518619	0.65768733395823	0.45784759559898	0.381757287357474	-0.34596542614565	-0.0536921772613008	NA
PZE-101017580	1	57	19.6	0.538488380712097	0.646227608413623	0.459132792966694	0.384275744741551	-0.340417570986007	-0.0528495305021645	NA
PZE-101018214	1	58	19.7	0.545469568759697	0.634872336548988	0.460473707280762	0.386830626643501	-0.334961957399186	-0.0520348302710226	NA
PZE-101017487	1	59	19.9	0.560488397833713	0.612489787874266	0.460353488855155	0.392044588811768	-0.324322135234644	-0.0504844529192289	NA
