mk.names	chr	pos.ind	pos.cM	log10pval	UH304	W117	B73	D06	D09	F353
PZE-101000083	1	1	0	0.209124655501025	0.582623785890988	0.938586476768889	0.745565842804877	-0.217300309059012	-0.205709920266392	1
PZE-101000161	1	2	0.1	0.209124910913875	0.582622282927125	-0.205709920266288	0.938586476768889	-0.217300309059106	0.745565842805076	1
PZE-101000344	1	3	0.7	0.209237522499259	0.582623935876399	-0.205559342219338	0.938586476768889	-0.217300309058994	0.745565842805076	1
PZE-101000424	1	4	0.8	0.209256288497018	0.582623943794259	-0.205534325220619	0.938586476768889	-0.217300309059261	0.745565842804877	1
PZE-101000370	1	5	1	0.209256289572927	0.582623959630546	-0.205534320199043	0.938586476768889	-0.217300309058917	0.745565842804877	1
PZE-101000754	1	6	1.4	0.209256291724372	0.58262399130518	-0.205534310155064	0.938586476768889	-0.21730030905914	0.745565842804944	1
PZE-101000169	1	7	1.5	0.209256366938632	0.582623999223892	-0.205534208108968	0.938586476769183	-0.217300309058771	0.745565842804944	1
PZE-101000256	1	8	1.7	0.209256517367566	0.582624015061211	-0.205534004015406	0.938586476768596	-0.217300309059175	0.745565842805143	1
PZE-101001103	1	9	1.8	0.209256592581449	0.582624022979463	-0.205533901969867	0.938586476768889	-0.217300309059106	0.74556584280501	1
PZE-101000659	1	10	1.9	0.209256285041432	0.582624030897396	-0.205534310092701	0.938586476768889	-0.217300309059226	0.74556584280501	1
PZE-101001110	1	11	2.2	0.209214462050153	0.58287019787972	-0.205534310215409	0.938586476768889	-0.217300309059192	0.74556584280501	1
PZE-101000431	1	12	2.3	0.209256292991212	0.582623983629939	-0.205534310236735	0.938586476768889	-0.217300309025642	0.74556584280501	1
PZE-101000442	1	13	2.4	0.209256297019913	0.582623959971803	-0.205534310258093	0.938586476768889	-0.217300308992256	0.74556584280501	1
PZE-101000530	1	14	2.5	0.209256301048656	0.582623936313917	-0.205534310279323	0.938586476768889	-0.217300308958878	0.745565842805076	1
PZE-101001114	1	15	2.6	0.209256266526381	0.582624139458168	-0.205534310301035	0.938586476768889	-0.217300308925689	0.745565842804944	1
PZE-101001280	1	16	2.7	0.209256306147555	0.58262434261828	-0.205534524297952	0.938586476768889	-0.217299974742833	0.745565842804811	1
PZE-101000673	1	17	3	0.207009157898752	0.582624952181398	-0.215879638947849	0.938586476768889	-0.209924313333903	0.745565842804944	1
PZE-101001107	1	18	3.1	0.203822688822568	0.585359015717275	-0.221149256757276	0.938586476768889	-0.208653804089459	0.745565842805209	1
PZE-101002282	1	19	3.4	0.187694918630931	0.602010912229974	-0.242637306234182	0.938586476768889	-0.208379805625685	0.745565842805076	1
PZE-101002081	1	20	3.6	0.190475126468185	0.602012429164154	0.938586476768889	0.745565842805076	-0.242639022724503	-0.204523814822558	1
PZE-101001380	1	21	4.3	0.17088068168679	0.602012430125444	-0.24263902299979	0.975485888209691	-0.2320064856472	0.754966255136479	1
