mk.names	chr	pos.ind	pos.cM	log10pval	UH304	W117	B73	D06	D09	F353
PZE-101000083	1	1	0	0.0838690587830899	0.333697056514436	0.49182499055601	0.482797699566147	-0.971056579288937	-0.600341961899948	1
PZE-101000161	1	2	0.1	0.0838691063310838	0.333696894160163	-0.600341961899608	0.491824990556296	-0.971056579289562	0.482797699565945	1
PZE-101000344	1	3	0.7	0.0837863823607357	0.333697072626056	-0.601067533415888	0.49182499055601	-0.971056579288937	0.482797699566223	1
PZE-101000424	1	4	0.8	0.0837726630347274	0.333696922926757	-0.601188533342099	0.491824990556062	-0.971056579288937	0.482797699566273	1
PZE-101000370	1	5	1	0.0837727479301483	0.333696623511492	-0.601188557547089	0.491824990555958	-0.971056579289562	0.482797699565844	1
PZE-101000754	1	6	1.4	0.0837729177306356	0.333696024648178	-0.601188605958059	0.491824990556322	-0.971056579288937	0.482797699566021	1
PZE-101000169	1	7	1.5	0.0837729606288911	0.333695874932629	-0.601188614121031	0.49182499055627	-0.971056579288937	0.482797699565566	1
PZE-101000256	1	8	1.7	0.0837730464228423	0.333695575509799	-0.601188630447202	0.491824990556088	-0.971056579289562	0.482797699565996	1
PZE-101001103	1	9	1.8	0.0837730893180128	0.33369542580506	-0.601188638609834	0.491824990556114	-0.971056579288937	0.482797699565869	1
PZE-101000659	1	10	1.9	0.0837731368514957	0.333695276106366	-0.601188605968429	0.491824990556166	-0.971056579289562	0.482797699566172	1
PZE-101001110	1	11	2.2	0.0850961171504908	0.329230365175132	-0.601188605958286	0.491824990556218	-0.971056579288937	0.482797699566097	1
PZE-101000431	1	12	2.3	0.0837728743317101	0.333696172899028	-0.601188605990834	0.491824990556114	-0.971056578948532	0.482797699565642	1
PZE-101000442	1	13	2.4	0.0837727429332928	0.333696621765553	-0.60118860602357	0.491824990556036	-0.971056578607503	0.482797699565945	1
PZE-101000530	1	14	2.5	0.0837726115349413	0.333697070632958	-0.601188606056761	0.491824990555983	-0.971056578265849	0.48279769956592	1
PZE-101001114	1	15	2.6	0.0837737397734699	0.333693216468262	-0.601188606089309	0.49182499055601	-0.971056577925444	0.482797699566147	1
PZE-101001280	1	16	2.7	0.0837748543455196	0.333689362296179	-0.601188933279251	0.491824990556088	-0.971053165602244	0.482797699566147	1
PZE-101000673	1	17	3	0.0843197983184068	0.333677800041778	-0.614109948308271	0.491824990556088	-0.868448004518103	0.482797699566198	1
PZE-101001107	1	18	3.1	0.0968616742681438	0.297109221675438	-0.61978777050918	0.491824990556244	-0.834650173426722	0.482797699565895	1
PZE-101002282	1	19	3.4	0.141389590426565	0.211576139006464	-0.64062768646884	0.491824990556166	-0.737040250867424	0.48279769956597	1
PZE-101002081	1	20	3.6	0.140328287371778	0.211571609336141	0.4918249905564	0.482797699566021	-0.640629250615502	-0.750353095716524	1
PZE-101001380	1	21	4.3	0.137543012502269	0.211571607109168	-0.640629250607486	0.531929418908672	-0.668478902123911	0.496724265381802	1
PZE-101003133	1	22	4.5	0.137062242568064	0.211571606472911	-0.640629250604611	0.543910908193683	-0.646377672918783	0.501418861911241	1
PZE-101003135	1	23	4.7	0.134108647605156	0.211569773947658	-0.640627662228789	0.556120380107551	-0.646377358937917	0.506453527890951	1
PZE-101003026	1	24	4.9	0.130861103658064	0.211567941437545	-0.625272569135393	0.568554547896724	-0.665938144952214	0.511839038838428	1
PZE-101003031	1	25	5.6	0.160009635471439	0.156977279013501	-0.581700150291729	0.613783735594265	-0.746935381691858	0.533579745077336	1
PZA00393.1	1	26	5.7	0.16416459508554	0.150743796355799	-0.576945767350932	0.620453889033396	-0.759657135742827	0.537063963294542	1
PZE-101003115	1	27	5.9	0.172818225600322	0.139412756912683	-0.576944119581784	0.633943632748345	-0.759659697674785	0.544321402849927	1
PZE-101002367	1	28	6	0.176992309115126	0.134299213678152	-0.576943295641062	0.640761601271229	-0.759660978740211	0.548094986376352	1
PZE-101005818	1	29	7.3	0.211588297898048	0.095889192024492	-0.576932584243011	0.733370493181577	-0.759677633676781	0.605726931082441	1
PZE-101006745	1	30	9.2	0.182490123947869	0.878038413940128	0.71271230237869	0.106169932360966	-0.759674277744413	-0.518492833315033	1
PZA01022.1	1	31	9.6	0.174562836792264	0.909146538469635	0.737078222335157	0.110495124637851	-0.759673570997121	-0.50972103953455	1
PZE-101009312	1	32	10.6	0.152563171016352	-0.493771899434483	0.986766164527668	-0.759671804862056	0.79811761882416	0.125458923015311	1
PZE-101007769	1	33	10.9	0.145532868424398	0.816116448528989	-0.490616512074951	-0.990151191096388	-0.759671275381798	0.131230585791787	1
PZE-101009215	1	34	11.2	0.145229986468987	0.833841481233021	-0.45825004779619	-0.967229465866379	-0.754625308250286	0.137645367094116	1
PZE-101010821	1	35	11.8	0.146271393567773	0.832923725266949	-0.401825988914984	-0.922009235293765	-0.746189000394475	0.152500723409011	1
PZE-101009528	1	36	12.3	0.146165544493352	-0.885115094548703	0.833173724936643	-0.364099402962355	-0.740952234717722	0.167030860586376	1
PZE-101009163	1	37	12.5	0.139806484456619	-0.925459169693971	0.833542855030661	-0.364094282295099	-0.740950764287204	0.173403439201275	1
PZE-101010560	1	38	13	0.166864945450585	-0.862102093063513	0.835138980220199	-0.250987104499746	-0.887089447031536	0.190743012335865	1
PZE-101010917	1	39	13.5	0.18078647298033	-0.576365212901965	0.210068567850995	0.837663518620274	-0.250978190771318	-0.887104897076444	1
PZE-101012517	1	40	13.6	0.25162252653593	0.214166079166456	-0.316722435025662	0.838273451735706	-0.250978288802407	-0.887103920306952	1
PZE-101014135	1	41	13.7	0.249484735167606	0.212219228965048	-0.32588065562141	0.82890312977259	-0.25097838683525	-0.887102943526689	1
PZE-101014266	1	42	13.8	0.247280223160713	0.210437132188377	-0.335369381608651	0.819618759868753	-0.250978484869397	-0.887101966741032	1
PZE-101011048	1	43	14	0.242673934646611	0.207374206041847	-0.355348044807697	0.801366519001424	-0.250978680936995	-0.887100013190379	1
PZE-101013802	1	44	15.2	0.230925317004547	0.203290791592151	-0.502555194854593	0.552054829487043	-0.267026541412797	-0.770432914413234	1
PZE-101014003	1	45	15.3	0.230480720185173	0.204040755197485	0.534585770620704	-0.51673717139447	-0.26876101164014	-0.761059824761052	1
PZE-101011906	1	46	15.7	0.230212197047475	0.203487825277984	0.534579030963804	-0.516745985573752	-0.276325391049934	-0.72467408375693	1
